_runtime,_timestamp,train/epsilon,_step,train/loss,train/episode,episode/goal_reward,episode/clipped_reward,episode/action_all,train/learning_rate,episode/tracking_reward,train/grad_norm,episode/actions_up,episode/actions_neutral,episode/actions_down,episode/total_reward,train/buffer_size,run_id,run_name,group
78047.367063895,1788111397.4278767,0.05,3097816.0,0.003365603042766452,1212,,,,0.0003,,0.04627892831796419,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
78150.900804218,1788111500.909849,0.05,3101912.0,0.006459428463131189,1214,,,,0.0003,,0.07253203868628738,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
78784.764560575,1788112134.8196132,0.05,3127176.0,0.005622879136353731,1223,,,,0.0003,,0.07544815373362589,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
78821.53639472,1788112171.5965562,0.05,3128628.0,0.007867705076932907,1223,,,,0.0003,,0.07689292528267234,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
79274.927138556,1788112624.9860578,0.05,3146888.0,0.008458379656076431,1231,,,,0.0003,,0.07964531018610053,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
79584.616961692,1788112934.627506,0.05,3159228.0,0.006196670234203339,1235,,,,0.0003,,0.07631090595947054,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
80663.168942061,1788114013.21724,0.05,3202340.0,0.009603439830243587,1251,,,,0.0003,,0.07410739630732124,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
80851.765209131,1788114201.8297527,0.05,3209876.0,0.003864450380206108,1254,,,,0.0003,,0.04066498199878873,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
81243.038011139,1788114593.0960824,0.05,3225504.0,0.0034571164287626743,1259,,,,0.0003,,0.04202610209645635,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
81323.154279389,1788114673.2115273,0.05,3228716.0,0.0047127180732786655,1261,,,,0.0003,,0.05338729498854785,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
81380.502562863,1788114730.5913455,0.05,3231040.0,0.006456014234572649,1263,,,,0.0003,,0.06887886822377212,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
82174.533503067,1788115524.5856981,0.05,3262732.0,0.0063865287229418755,1276,,,,0.0003,,0.05088457369151835,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
82199.955144677,1788115550.014865,0.05,3263760.0,0.009778667241334915,1276,,,,0.0003,,0.09748977589500815,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
82288.151936321,1788115638.2127635,0.05,3267272.0,0.00948865432292223,1277,,,,0.0003,,0.08519023746693065,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
83386.821463098,1788116736.8803024,0.05,3311088.0,0.006695831194519997,1292,,,,0.0003,,0.07481896275248308,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
